studyId,pmid
stad_tcga_pan_can_atlas_2018,32214244
stad_tcga_pan_can_atlas_2018,36334560
stad_tcga_pub,25079317
stad_uhongkong,22037554
stad_utokyo,24816255
stes_tcga_pub,28052061
stmyec_wcm_2022,36577525
summit_2018,29420467
tet_nci_2014,24974848
tgct_tcga_pan_can_atlas_2018,29596782
tgct_tcga_pan_can_atlas_2018,29617662
tgct_tcga_pan_can_atlas_2018,29622463
tgct_tcga_pan_can_atlas_2018,29625048
tgct_tcga_pan_can_atlas_2018,29625049
tgct_tcga_pan_can_atlas_2018,29625050
tgct_tcga_pan_can_atlas_2018,29625055
tgct_tcga_pan_can_atlas_2018,29850653
tgct_tcga_pan_can_atlas_2018,32214244
tgct_tcga_pan_can_atlas_2018,36334560
thca_tcga_pan_can_atlas_2018,29596782
thca_tcga_pan_can_atlas_2018,29617662
thca_tcga_pan_can_atlas_2018,29622463
thca_tcga_pan_can_atlas_2018,29625048
thca_tcga_pan_can_atlas_2018,29625049
thca_tcga_pan_can_atlas_2018,29625050
thca_tcga_pan_can_atlas_2018,29625055
thca_tcga_pan_can_atlas_2018,29850653
thca_tcga_pan_can_atlas_2018,30643250
thca_tcga_pan_can_atlas_2018,32214244
thca_tcga_pan_can_atlas_2018,36334560
thca_tcga_pub,25417114
thym_tcga_pan_can_atlas_2018,29596782
thym_tcga_pan_can_atlas_2018,29617662
thym_tcga_pan_can_atlas_2018,29622463
thym_tcga_pan_can_atlas_2018,29625048
thym_tcga_pan_can_atlas_2018,29625049
thym_tcga_pan_can_atlas_2018,29625050
thym_tcga_pan_can_atlas_2018,29625055
thym_tcga_pan_can_atlas_2018,29850653
thym_tcga_pan_can_atlas_2018,32214244
thym_tcga_pan_can_atlas_2018,36334560
thyroid_gatci_2024,38412093
thyroid_mskcc_2016,26878173
tmb_mskcc_2018,30643254
uccc_nih_2017,28485815
ucec_ancestry_cds_msk_2023,37651310
ucec_ccr_cfdna_msk_2022,36007103
ucec_ccr_msk_2022,35849120
ucec_cptac_2020,32059776
ucec_msk_2018,30068706
ucec_msk_2024,38653864
ucec_tcga_pan_can_atlas_2018,29596782
ucec_tcga_pan_can_atlas_2018,29617662
ucec_tcga_pan_can_atlas_2018,29622463
ucec_tcga_pan_can_atlas_2018,29625048
ucec_tcga_pan_can_atlas_2018,29625049
ucec_tcga_pan_can_atlas_2018,29625050
ucec_tcga_pan_can_atlas_2018,29625055
ucec_tcga_pan_can_atlas_2018,29850653
ucec_tcga_pan_can_atlas_2018,30643250
ucec_tcga_pan_can_atlas_2018,32214244
ucec_tcga_pan_can_atlas_2018,36334560
ucec_tcga_pub,23636398
ucs_jhu_2014,25233892
ucs_msk_2024,39031567
ucs_tcga_pan_can_atlas_2018,29596782
ucs_tcga_pan_can_atlas_2018,29617662
ucs_tcga_pan_can_atlas_2018,29622463
ucs_tcga_pan_can_atlas_2018,29625048
ucs_tcga_pan_can_atlas_2018,29625049
ucs_tcga_pan_can_atlas_2018,29625050
ucs_tcga_pan_can_atlas_2018,29625055
ucs_tcga_pan_can_atlas_2018,29850653
ucs_tcga_pan_can_atlas_2018,32214244
ucs_tcga_pan_can_atlas_2018,36334560
um_qimr_2016,26683228
urcc_mskcc_2016,27713405
usarc_msk_2020,32299819
utuc_cornell_baylor_mdacc_2019,31278255
utuc_igbmc_2021,33397444
utuc_msk_2019,32332851
utuc_mskcc_2015,26278805
utuc_pdx_msk_2019,32332851
uvm_tcga_pan_can_atlas_2018,29596782
uvm_tcga_pan_can_atlas_2018,29617662
uvm_tcga_pan_can_atlas_2018,29622463
uvm_tcga_pan_can_atlas_2018,29625048
